"Читайте сказки Владимира Даля на портале «Культура.РФ».
📚 «Девочка Снегурочка»: www.culture.ru/books/951
📚 «Лиса-лапотница»: www.culture.ru/books/324
📚 «Старик-годовик»: www.culture.ru/books/916"
"Когда появились первые труппы, в какой цирк ходил Толстой и где начинали карьеру Мстислав и Вальтер Запашные?
В Международный день цирка рассказываем историю цирка в России: www.culture.ru/materials/253330/istoriya-cirka-v-rossii

* Александр Бучкури. У цирка. 1936. Русский музей"
"Сегодня в 17:00 присоединяйтесь к прямой трансляции спектакля «Русалочка» Государственного театра оперы и балета Республики Коми: www.culture.ru/live/broadcast/51040/rusalochka

Трансляция проводится в рамках нацпроекта «Культура»."
Посмотрите мультфильм «Мойдодыр» по одноименной сказке Корнея Чуковского: www.culture.ru/live/movies/8226/moidodyr
"Сегодня отмечается светлый праздник Пасхи. Рассказываем, чем занимались наши предки в этот день: www.culture.ru/themes/630/kak-na-rusi-otmechali-paskhu

* Иван Горюшкин-Сорокопудов. Канун Пасхи в старину"
Почему на Руси носили кокошники? Разбираемся в новом выпуске подкаста.
"Слушаем аудиокнигу «Шестое чувство», в которую вошли самые известные стихотворения Николая Гумилева — поэта, переводчика и критика эпохи Серебряного века: www.culture.ru/materials/255700/nikolai-gumilev-shestoe-chuvstvo
Читает поэт Евгений Евтушенко. Записи сделаны в студии фирмы «Мелодия» в 1986 году."
"Мультфильм «Похождения Мюнхгаузена» выпустили в 1929 году. Над анимацией о приключениях барона трудились Иван Иванов-Вано, Владимир Сутеев и Вера Валерианова.
Смотрите мультфильм из коллекции Госфильмофонда России: www.culture.ru/live/movies/13512/pokhozhdeniya-myunkhgauzena"
"Санкт-Петербург — город парков и садов. В новом тесте мы собрали фотографии его зеленых достопримечательностей и предлагаем вам угадать, где знаменитый парк, где укромный сквер, а где место встреч неформальной советской молодежи: www.culture.ru/materials/257657/test-ugadaite-peterburgskii-sad-po-fotografii
А заодно — составить план для весенней или летней прогулки по Северной столице.

* Александр Бенуа. Петергоф. Главный фонтан"
"Творожная пасха по рецепту Софьи Толстой, паштет из зайца, а еще яйца, сваренные в листьях молодой березы. Делимся рецептами из дореволюционных кулинарных книг:
www.culture.ru/materials/188920/tradicionnye-paskhalnye-blyuda"
«Новая опера» представляет премьеру постановки «Иоланта / Карлик»: www.culture.ru/news/257659/novaya-opera-predstavlyaet-premeru-postanovki-iolanta-karlik
"В 2000 году по просьбе одного из своих читателей фантаст Борис Стругацкий составил список любимых книг. В него вошли произведения, которые писатель перечитывал как минимум три раза. Мы упорядочили список, из которого вы узнаете, какие детективы и фантастические книги нравились Стругацкому, что он рекомендовал читать из русской классики и американской прозы: www.culture.ru/materials/257193/chto-pochitat-sovetuet-boris-strugackii"
"В поисках своего стиля художник Виктор Борисов-Мусатов из Саратова отправился сначала в Москву, затем в Петербург и Париж, но обрел его, лишь вернувшись в родной город. Живописец создал немного картин, но каждая из них определила важный этап его творчества.
Читайте биографию мастера живописного символизма: www.culture.ru/persons/8259/viktor-borisov-musatov

* Автопортрет с сестрой. 1898. Русский музей, Санкт-Петербург
* Майские цветы. 1894. Третьяковская галерея, Москва
* Весна. 1898. Русский музей
* Водоем. 1902. Третьяковская галерея"
